code,population016,population_density_per_square_kilometre,land_area_in_square_kilometres,housing_apartment_in_a_building_that_has_five_or_more_storeys,housing_apartment_in_a_building_that_has_fewer_than_five_storeys,housing_apartment_or_flat_in_a_duplex,housing_semi_detached_house,housing_other_single_attached_house,housing_single_detached_house,housing_row_house,housing_movable_dwelling,x1960_or_before,x1961_to_1980,x1981_to_1990,x1991_to000,x2001_to005,x2006_to010,x2011_to016,average_household_size,persons_living_alone_per_cent,prevalence_of_low_income_based_on_the_low_income_measure_after_tax_lim_at_percent,in_the_bottom_decile,in_the_second_decile,in_the_third_decile,in_the_fourth_decile,in_the_fifth_decile,in_the_sixth_decile,in_the_seventh_decile,in_the_eighth_decile,in_the_ninth_decile,in_the_top_decile,vm_chinese,vm_south_asian,vm_black,vm_latin_american,vm_filipino,vm_arab,vm_southeast_asian,vm_west_asian,vm_korean,vm_japanese,vm_visible_minority_n_i_e,vm_multiple_visible_minorities,vm_not_a_visible_minority,vm_min_total
129,29113,3929,7.41,0.2327113062568606,0.08068057080131723,0.070801317233809,0.08836443468715698,0.001646542261251372,0.36717892425905596,0.15806805708013172,5.488474204171241e-4,0.02689352360043908,0.5384193194291986,0.21405049396267836,0.0982436882546652,0.07903402854006586,0.038419319429198684,0.004939626783754116,3.16,5.4,21.3,0.14550815123135621,0.17447103711411724,0.12833853624696498,0.10371141172389872,0.09053069719042664,0.08671522719389525,0.08116545265348596,0.0783905653832813,0.06590357266736038,0.04526534859521332,0.5708340558349229,0.18432460551413213,0.04647130223686492,0.005895612970348535,0.04924570834055835,0.009537020981446159,0.00901681983700364,0.004335009537020981,0.0024276053407317495,0.0020808045777700713,0.008496618692561124,0.021848448066585747,0.08548638807005375,0.9145136119299463
128,23757,3034,7.83,0.38588957055214723,0.07484662576687116,0.0852760736196319,0.04049079754601227,0.007975460122699387,0.3423312883435583,0.06319018404907975,0,0.10264290104486785,0.4025814382298709,0.20221266133988935,0.07867240319606637,0.02089735709895513,0.04548248309772587,0.14751075599262448,2.88,8,22.6,0.16620557565439456,0.15173441157693127,0.1251330070227708,0.11023622047244094,0.09406256650351139,0.08576292828261332,0.0783145350074484,0.07661204511598213,0.06405618216641838,0.047882528197488824,0.473773987206823,0.17867803837953092,0.06588486140724947,0.009808102345415778,0.05458422174840085,0.01279317697228145,0.006609808102345416,0.015991471215351813,0.005970149253731343,0.0017057569296375266,0.011727078891257996,0.020895522388059702,0.1415778251599147,0.8584221748400853
20,12054,2435,4.95,0.0552546045503792,0.12134344528710726,0.07150595882990249,0.1180931744312026,0,0.6153846153846154,0.018418201516793065,0,0.6308360477741585,0.22366992399565688,0.04234527687296417,0.035830618892508145,0.016286644951140065,0.0249728555917481,0.026058631921824105,2.6,10.8,8.2,0.060291060291060294,0.06777546777546778,0.08357588357588358,0.08814968814968815,0.09480249480249481,0.1051975051975052,0.1180873180873181,0.12474012474012475,0.14553014553014554,0.11185031185031186,0.0228595178719867,0.04488778054862843,0.02493765586034913,0.014962593516209476,0.05112219451371571,0.007481296758104738,0.00457190357439734,0.0016625103906899418,0.005403158769742311,0.0029093931837073984,0.011637572734829594,0.014962593516209476,0.7926018287614297,0.20739817123857024
95,30526,10863,2.81,0.5125549278091651,0.3010043942247332,0.028562460765850596,0.0743879472693032,0.005649717514124294,0.04048964218455744,0.037350910232266166,0,0.43453689167974885,0.25620094191522763,0.09293563579277865,0.059654631083202514,0.044897959183673466,0.05274725274725275,0.05902668759811617,1.8,30,18.3,0.16768345825344255,0.07756667247690431,0.05961303817326129,0.05682412410667596,0.0604845738190692,0.05996165243158445,0.06344779501481611,0.07704375108941956,0.09865783510545581,0.27871709952937074,0.0749083289680461,0.0392875851231011,0.032652348524532915,0.014143530644316397,0.012222804260520342,0.010476689366160294,0.0066352365985681856,0.011873581281648332,0.02112799022175659,0.00890518596123625,0.004365287235900122,0.01676270298585647,0.7466387288283569,0.2533612711716431
42,27695,2775,9.98,0.5166872682323856,0.10836423568191182,0.003296250515039143,0.023485784919653894,0,0.2871858261227853,0.060980634528224144,0,0.24494845360824744,0.3030927835051546,0.14969072164948455,0.0977319587628866,0.07835051546391752,0.08164948453608248,0.0445360824742268,2.23,18.6,13.7,0.09622501850481126,0.0812361213915618,0.07586972612879349,0.06939304219096966,0.07568467801628423,0.07790525536639527,0.08253145817912658,0.08845299777942264,0.11602516654330126,0.23667653589933382,0.17141799333580154,0.10459089226212513,0.03591262495372084,0.01295816364309515,0.04202147352832284,0.020362828582006665,0.0040725657164013326,0.027952610144390967,0.02073306182895224,0.00777489818585709,0.0057386153276564236,0.01740096260644206,0.5290633098852277,0.4709366901147723
34,15873,3377,4.7,0.33716160787530763,0.17555373256767842,0.10500410172272355,0.027071369975389663,0.002461033634126333,0.3453650533223954,0.007383100902378999,0,0.35667215815486,0.36820428336079075,0.0757825370675453,0.06177924217462932,0.05354200988467875,0.047775947281713346,0.036243822075782535,2.56,12.5,17,0.11709977542508823,0.11966634584536413,0.10234199550850176,0.0933589990375361,0.0904716073147257,0.08245107475136348,0.0795636830285531,0.09111324991979468,0.1039461020211742,0.11998716714789862,0.04201411161000641,0.03527902501603592,0.03527902501603592,0.03688261706221937,0.12508017960230916,0.009942270686337396,0.009621552277100705,0.01731879409878127,0.0195638229634381,0.0022450288646568314,0.006093649775497113,0.008659397049390635,0.6520205259781912,0.34797947402180884
76,25797,14097,1.83,0.9820836098208361,0.015925680159256803,0,0,6.635700066357001e-4,3.3178500331785003e-4,9.953550099535502e-4,0,0.04415670650730412,0.1596945551128818,0.1689907038512616,0.14375830013280214,0.06241699867197875,0.1603585657370518,0.2606241699867198,1.7,31.8,37.7,0.34466588511137164,0.07893708479874952,0.06486908948808129,0.053927315357561546,0.05275498241500586,0.05470887065259867,0.05744431418522861,0.07053536537710042,0.08147713950762016,0.1406799531066823,0.2903162827020695,0.09449433814916049,0.0302616165560328,0.017961733697774308,0.01483795392424834,0.0511518937914877,0.013276064037485357,0.024014057008980867,0.05232331120655994,0.013080827801639985,0.00605232331120656,0.014447481452557595,0.37778211636079656,0.6222178836392034
52,21396,4195,5.1,0.6194225721784777,0.05459317585301837,0.007874015748031496,0.012598425196850394,5.249343832020997e-4,0.2125984251968504,0.09238845144356955,0,0.15493697478991597,0.22163865546218486,0.0430672268907563,0.03939075630252101,0.12920168067226892,0.18592436974789917,0.22584033613445378,2.22,17.1,23.7,0.18945127719962157,0.09437086092715231,0.07497634815515611,0.07332071901608325,0.07663197729422895,0.06977294228949858,0.07899716177861874,0.08656575212866603,0.10383159886471145,0.15208136234626302,0.2771340742492315,0.06431780562780799,0.035705840624261055,0.019389926696618588,0.036178765665641995,0.01678883896902341,0.009458500827618822,0.11539371009694964,0.07826909434854576,0.00851265074485694,0.004965712934499882,0.020099314258689997,0.31378576495625443,0.6862142350437456
49,13154,3240,4.06,0.37725823591923485,0.12114771519659936,0.021253985122210415,0.10520722635494155,0,0.332624867162593,0.04250797024442083,0,0.08547008547008547,0.7211538461538461,0.09935897435897435,0.06623931623931624,0.00641025641025641,0.004273504273504274,0.017094017094017096,2.7,8.7,18.4,0.13896565337544414,0.10382945124358468,0.08566916699565733,0.08093170153967627,0.07145677062771418,0.08409001184366365,0.07816818002368733,0.08053691275167785,0.11409395973154363,0.16225819186735096,0.34452785460292373,0.05294350059265113,0.04188067957329119,0.011853022520742789,0.01382852627419992,0.010272619517977083,0.01066772026866851,0.08020545239035955,0.05610430659818254,0.005531410509679968,0.0035559067562228367,0.020545239035954167,0.3480837613591466,0.6519162386408535
39,23236,4209,5.52,0.23157283807312826,0.14625652930934416,0.03656413232733604,0.00522344747533372,0.013348810214741729,0.559489262913523,0.0075449796865931515,0,0.3402898550724638,0.1936231884057971,0.09971014492753623,0.15478260869565216,0.07130434782608695,0.07594202898550724,0.06434782608695652,2.68,12.9,9.4,0.06927906473262611,0.06321714656852133,0.056289240095258715,0.05304178393591687,0.04741285992639099,0.04503139207620697,0.05260878978133795,0.06668109980515263,0.09980515263043949,0.44663347044814894,0.0445598096474151,0.019684187756867835,0.0136275146009085,0.014925373134328358,0.07743889249405148,0.003893575600259572,0.003244646333549643,0.013194895089768548,0.008436080467229072,0.0028120268224096907,4.3261951113995244e-4,0.007354531689379191,0.790395846852693,0.20960415314730693
112,6577,3614,1.82,0.2514177693761815,0.42722117202268434,0.034026465028355386,0.030245746691871456,0,0.2514177693761815,0.005671077504725898,0,0.3913857677902622,0.299625468164794,0.12359550561797752,0.15730337078651685,0.0149812734082397,0.003745318352059925,0.009363295880149813,2.4,16.5,28,0.18779342723004694,0.176056338028169,0.13615023474178403,0.12050078247261346,0.09233176838810642,0.07589984350547731,0.06651017214397496,0.06416275430359937,0.046948356807511735,0.033646322378716745,0.017214397496087636,0.051643192488262914,0.323943661971831,0.05242566510172144,0.061815336463223784,0.010954616588419406,0.033646322378716745,0.001564945226917058,0.002347417840375587,0,0.02112676056338028,0.01486697965571205,0.4084507042253521,0.5915492957746479
127,29960,4011,7.47,0.45011600928074247,0.03155452436194896,0.09976798143851508,0.02691415313225058,0.0018561484918793504,0.35916473317865427,0.030162412993039442,4.640371229698376e-4,0.3694741740344346,0.2415076779897627,0.03257328990228013,0.05304792926942764,0.09260120986505352,0.12145183806421592,0.0893438808748255,2.7,11.4,23.4,0.16474832503006356,0.13966672393059612,0.12111321078852431,0.11149287064078336,0.09208039855694898,0.09259577392200653,0.08538051881120083,0.08005497337227281,0.07163717574299948,0.04123002920460402,0.1513848271116463,0.2857388611732324,0.06571477722346465,0.018234990538448306,0.09926027868570446,0.011525890246000344,0.01066574918286599,0.02804059865817994,0.007053156717701703,0.005332874591432995,0.016342680199552727,0.024772062618269395,0.27593325305350075,0.7240667469464992
122,22291,3765,5.92,0.10282916213275299,0.2132752992383025,0.0957562568008705,0.046245919477693145,0.004352557127312296,0.5331882480957563,0.004352557127312296,0,0.6579662860250136,0.17998912452419794,0.06035889070146819,0.05492115280043502,0.01468189233278956,0.013594344752582926,0.018488308863512777,2.36,16.2,14.5,0.1108550357225167,0.08596450795114081,0.08550357225167089,0.07766766536068219,0.08296842590458631,0.08642544365061074,0.0806637474072367,0.1097026964738419,0.12145655681032495,0.1587923484673888,0.05491462851868943,0.06483617904937702,0.04107060452238117,0.010383017997231195,0.03830179972311952,0.004845408398707891,0.01222888786340563,0.004383940932164283,0.0013844023996308261,0.00899861559760037,0.007383479464697739,0.015689893862482696,0.7355791416705122,0.26442085832948775
